a52dec 0.7.4-9
python-idna 2.5-1
python-npyscreen 4.10.5-1
python-oauthlib 2.0.2-1
python-packaging 16.8-2
python-pip 9.0.1-2
python-ply 3.10-1
python-psutil 5.2.2-1
python-pycparser 2.18-1
python-pycups 1.9.73-3
python-pycurl 7.43.0-3
python-pyparsing 2.2.0-1
python-pyqt5 5.9-1
python-requests 2.18.1-1
python-requests-oauthlib 0.8.0-1
python-setproctitle 1.1.10-2
python-setuptools 1:36.2.2-1
python-sip 4.19.3-1
python-six 1.10.0-3
python-urllib3 1.21.1-1
python2 2.7.13-4
python2-cairo 1.13.3-1
python2-configobj 5.0.6-3
python2-dbus 1.2.4-2
python2-gconf 2.28.1-10
python2-gobject 3.24.1-1
python2-gobject2 2.28.6-13
python2-keybinder2 0.3.1-1
python2-notify 0.1.1-13
python2-pyinotify 0.9.6-3
python2-setproctitle 1.1.10-2
python2-six 1.10.0-3
python2-xdg 0.25-4
